Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,2000,VC_IHR_PSRC,,2.4
2001,West Bank,2001,VC_IHR_PSRC,,3.2
2002,West Bank,2002,VC_IHR_PSRC,,4.7
2003,West Bank,2003,VC_IHR_PSRC,,5.0
2004,West Bank,2004,VC_IHR_PSRC,,5.0
2005,West Bank,2005,VC_IHR_PSRC,,4.7
2008,West Bank,2008,VC_IHR_PSRC,,2.2
2010,West Bank,2010,VC_IHR_PSRC,,1.7
2011,West Bank,2011,VC_IHR_PSRC,,1.3
2012,West Bank,2012,VC_IHR_PSRC,,1.2
2013,West Bank,2013,VC_IHR_PSRC,,1.0
2014,West Bank,2014,VC_IHR_PSRC,,1.0
2015,West Bank,2015,VC_IHR_PSRC,,2.2
2016,West Bank,2016,VC_IHR_PSRC,,0.7
2017,West Bank,2017,VC_IHR_PSRC,,1.3
2018,West Bank,2018,VC_IHR_PSRC,,0.9
2019,West Bank,2019,VC_IHR_PSRC,,1.3
2000,Gaza Strip,2000,VC_IHR_PSRC,,1.9
2001,Gaza Strip,2001,VC_IHR_PSRC,,2.5
2002,Gaza Strip,2002,VC_IHR_PSRC,,2.8
2003,Gaza Strip,2003,VC_IHR_PSRC,,2.0
2004,Gaza Strip,2004,VC_IHR_PSRC,,3.9
2005,Gaza Strip,2005,VC_IHR_PSRC,,5.4
2008,Gaza Strip,2008,VC_IHR_PSRC,,
2010,Gaza Strip,2010,VC_IHR_PSRC,,
2011,Gaza Strip,2011,VC_IHR_PSRC,,
2012,Gaza Strip,2012,VC_IHR_PSRC,,
2013,Gaza Strip,2013,VC_IHR_PSRC,,
2014,Gaza Strip,2014,VC_IHR_PSRC,,
2015,Gaza Strip,2015,VC_IHR_PSRC,,
2016,Gaza Strip,2016,VC_IHR_PSRC,,
2017,Gaza Strip,2017,VC_IHR_PSRC,,
2018,Gaza Strip,2018,VC_IHR_PSRC,,
2019,Gaza Strip,2019,VC_IHR_PSRC,,
2000,PS,2000,VC_IHR_PSRC,,2.2
2001,PS,2001,VC_IHR_PSRC,,2.9
2002,PS,2002,VC_IHR_PSRC,,3.9
2003,PS,2003,VC_IHR_PSRC,,3.8
2004,PS,2004,VC_IHR_PSRC,,4.5
2005,PS,2005,VC_IHR_PSRC,,4.7
2008,PS,2008,VC_IHR_PSRC,,
2010,PS,2010,VC_IHR_PSRC,,
2011,PS,2011,VC_IHR_PSRC,,
2012,PS,2012,VC_IHR_PSRC,,
2013,PS,2013,VC_IHR_PSRC,,
2014,PS,2014,VC_IHR_PSRC,,
2015,PS,2015,VC_IHR_PSRC,,
2016,PS,2016,VC_IHR_PSRC,,
2017,PS,2017,VC_IHR_PSRC,,
2018,PS,2018,VC_IHR_PSRC,,
2019,PS,2019,VC_IHR_PSRC,,
