Year,URBANISATION,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
0,_T,West Bank,N,0,SH_SAN_DEFECT,PT,99.4
2000,_T,West Bank,N,2000,SH_SAN_DEFECT,PT,99.4
2002,_T,West Bank,N,2002,SH_SAN_DEFECT,PT,98.8
2003,_T,West Bank,N,2003,SH_SAN_DEFECT,PT,98.4
2004,_T,West Bank,N,2004,SH_SAN_DEFECT,PT,98.6
2005,_T,West Bank,N,2005,SH_SAN_DEFECT,PT,99.2
2006,_T,West Bank,N,2006,SH_SAN_DEFECT,PT,99.2
2007,_T,West Bank,N,2007,SH_SAN_DEFECT,PT,98.8
2008,_T,West Bank,N,2008,SH_SAN_DEFECT,PT,98.8
2009,_T,West Bank,N,2009,SH_SAN_DEFECT,PT,99.0
2010,_T,West Bank,N,2010,SH_SAN_DEFECT,PT,88.0
2011,_T,West Bank,N,2011,SH_SAN_DEFECT,PT,98.8
2012,_T,West Bank,N,2012,SH_SAN_DEFECT,PT,99.4
2013,_T,West Bank,N,2013,SH_SAN_DEFECT,PT,99.3
2014,_T,West Bank,N,2014,SH_SAN_DEFECT,PT,98.8
2015,_T,West Bank,N,2015,SH_SAN_DEFECT,PT,98.8
2017,_T,West Bank,N,2017,SH_SAN_DEFECT,PT,99.6
0,_T,Gaza Strip,N,0,SH_SAN_DEFECT,PT,
2000,_T,Gaza Strip,N,2000,SH_SAN_DEFECT,PT,100.0
2002,_T,Gaza Strip,N,2002,SH_SAN_DEFECT,PT,99.3
2003,_T,Gaza Strip,N,2003,SH_SAN_DEFECT,PT,99.5
2004,_T,Gaza Strip,N,2004,SH_SAN_DEFECT,PT,100.0
2005,_T,Gaza Strip,N,2005,SH_SAN_DEFECT,PT,99.6
2006,_T,Gaza Strip,N,2006,SH_SAN_DEFECT,PT,99.7
2007,_T,Gaza Strip,N,2007,SH_SAN_DEFECT,PT,99.9
2008,_T,Gaza Strip,N,2008,SH_SAN_DEFECT,PT,99.8
2009,_T,Gaza Strip,N,2009,SH_SAN_DEFECT,PT,99.8
2010,_T,Gaza Strip,N,2010,SH_SAN_DEFECT,PT,95.5
2011,_T,Gaza Strip,N,2011,SH_SAN_DEFECT,PT,100.0
2012,_T,Gaza Strip,N,2012,SH_SAN_DEFECT,PT,100.0
2013,_T,Gaza Strip,N,2013,SH_SAN_DEFECT,PT,100.0
2014,_T,Gaza Strip,N,2014,SH_SAN_DEFECT,PT,98.4
2015,_T,Gaza Strip,N,2015,SH_SAN_DEFECT,PT,100.0
2017,_T,Gaza Strip,N,2017,SH_SAN_DEFECT,PT,99.9
0,_T,PS,N,0,SH_SAN_DEFECT,PT,
2000,_T,PS,N,2000,SH_SAN_DEFECT,PT,99.6
2002,_T,PS,N,2002,SH_SAN_DEFECT,PT,99.0
2003,_T,PS,N,2003,SH_SAN_DEFECT,PT,99.8
2004,_T,PS,N,2004,SH_SAN_DEFECT,PT,99.0
2005,_T,PS,N,2005,SH_SAN_DEFECT,PT,99.4
2006,_T,PS,N,2006,SH_SAN_DEFECT,PT,99.3
2007,_T,PS,N,2007,SH_SAN_DEFECT,PT,99.2
2008,_T,PS,N,2008,SH_SAN_DEFECT,PT,99.2
2009,_T,PS,N,2009,SH_SAN_DEFECT,PT,99.3
2010,_T,PS,N,2010,SH_SAN_DEFECT,PT,90.8
2011,_T,PS,N,2011,SH_SAN_DEFECT,PT,99.3
2012,_T,PS,N,2012,SH_SAN_DEFECT,PT,99.6
2013,_T,PS,N,2013,SH_SAN_DEFECT,PT,99.5
2014,_T,PS,N,2014,SH_SAN_DEFECT,PT,98.6
2015,_T,PS,N,2015,SH_SAN_DEFECT,PT,99.2
2017,_T,PS,N,2017,SH_SAN_DEFECT,PT,99.7
0,_T,Jenin,N,0,SH_SAN_DEFECT,PT,
2000,_T,Jenin,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Jenin,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Jenin,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Jenin,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Jenin,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Jenin,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Jenin,N,2007,SH_SAN_DEFECT,PT,99.8
2008,_T,Jenin,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Jenin,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Jenin,N,2010,SH_SAN_DEFECT,PT,85.8
2011,_T,Jenin,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Jenin,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Jenin,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Jenin,N,2014,SH_SAN_DEFECT,PT,98.4
2015,_T,Jenin,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Jenin,N,2017,SH_SAN_DEFECT,PT,99.9
0,_T,Tubas & Northern Valleys,N,0,SH_SAN_DEFECT,PT,
2000,_T,Tubas & Northern Valleys,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Tubas & Northern Valleys,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Tubas & Northern Valleys,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Tubas & Northern Valleys,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Tubas & Northern Valleys,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Tubas & Northern Valleys,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Tubas & Northern Valleys,N,2007,SH_SAN_DEFECT,PT,96.9
2008,_T,Tubas & Northern Valleys,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Tubas & Northern Valleys,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Tubas & Northern Valleys,N,2010,SH_SAN_DEFECT,PT,78.4
2011,_T,Tubas & Northern Valleys,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Tubas & Northern Valleys,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Tubas & Northern Valleys,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Tubas & Northern Valleys,N,2014,SH_SAN_DEFECT,PT,100.0
2015,_T,Tubas & Northern Valleys,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Tubas & Northern Valleys,N,2017,SH_SAN_DEFECT,PT,99.2
0,_T,Tulkarm,N,0,SH_SAN_DEFECT,PT,
2000,_T,Tulkarm,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Tulkarm,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Tulkarm,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Tulkarm,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Tulkarm,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Tulkarm,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Tulkarm,N,2007,SH_SAN_DEFECT,PT,99.7
2008,_T,Tulkarm,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Tulkarm,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Tulkarm,N,2010,SH_SAN_DEFECT,PT,98.2
2011,_T,Tulkarm,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Tulkarm,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Tulkarm,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Tulkarm,N,2014,SH_SAN_DEFECT,PT,99.4
2015,_T,Tulkarm,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Tulkarm,N,2017,SH_SAN_DEFECT,PT,99.9
0,_T,Nablus,N,0,SH_SAN_DEFECT,PT,
2000,_T,Nablus,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Nablus,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Nablus,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Nablus,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Nablus,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Nablus,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Nablus,N,2007,SH_SAN_DEFECT,PT,99.6
2008,_T,Nablus,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Nablus,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Nablus,N,2010,SH_SAN_DEFECT,PT,97.3
2011,_T,Nablus,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Nablus,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Nablus,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Nablus,N,2014,SH_SAN_DEFECT,PT,99.7
2015,_T,Nablus,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Nablus,N,2017,SH_SAN_DEFECT,PT,99.9
0,_T,Qalqiliya,N,0,SH_SAN_DEFECT,PT,
2000,_T,Qalqiliya,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Qalqiliya,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Qalqiliya,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Qalqiliya,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Qalqiliya,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Qalqiliya,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Qalqiliya,N,2007,SH_SAN_DEFECT,PT,98.6
2008,_T,Qalqiliya,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Qalqiliya,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Qalqiliya,N,2010,SH_SAN_DEFECT,PT,95.3
2011,_T,Qalqiliya,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Qalqiliya,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Qalqiliya,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Qalqiliya,N,2014,SH_SAN_DEFECT,PT,100.0
2015,_T,Qalqiliya,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Qalqiliya,N,2017,SH_SAN_DEFECT,PT,100.0
0,_T,Salfit,N,0,SH_SAN_DEFECT,PT,
2000,_T,Salfit,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Salfit,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Salfit,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Salfit,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Salfit,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Salfit,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Salfit,N,2007,SH_SAN_DEFECT,PT,99.5
2008,_T,Salfit,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Salfit,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Salfit,N,2010,SH_SAN_DEFECT,PT,66.5
2011,_T,Salfit,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Salfit,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Salfit,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Salfit,N,2014,SH_SAN_DEFECT,PT,100.0
2015,_T,Salfit,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Salfit,N,2017,SH_SAN_DEFECT,PT,99.8
0,_T,Ramallah & Al-Bireh,N,0,SH_SAN_DEFECT,PT,
2000,_T,Ramallah & Al-Bireh,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Ramallah & Al-Bireh,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Ramallah & Al-Bireh,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Ramallah & Al-Bireh,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Ramallah & Al-Bireh,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Ramallah & Al-Bireh,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Ramallah & Al-Bireh,N,2007,SH_SAN_DEFECT,PT,98.7
2008,_T,Ramallah & Al-Bireh,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Ramallah & Al-Bireh,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Ramallah & Al-Bireh,N,2010,SH_SAN_DEFECT,PT,80.1
2011,_T,Ramallah & Al-Bireh,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Ramallah & Al-Bireh,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Ramallah & Al-Bireh,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Ramallah & Al-Bireh,N,2014,SH_SAN_DEFECT,PT,99.0
2015,_T,Ramallah & Al-Bireh,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Ramallah & Al-Bireh,N,2017,SH_SAN_DEFECT,PT,99.4
0,_T,Jericho & AL Aghwar,N,0,SH_SAN_DEFECT,PT,
2000,_T,Jericho & AL Aghwar,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Jericho & AL Aghwar,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Jericho & AL Aghwar,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Jericho & AL Aghwar,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Jericho & AL Aghwar,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Jericho & AL Aghwar,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Jericho & AL Aghwar,N,2007,SH_SAN_DEFECT,PT,94.3
2008,_T,Jericho & AL Aghwar,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Jericho & AL Aghwar,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Jericho & AL Aghwar,N,2010,SH_SAN_DEFECT,PT,95.5
2011,_T,Jericho & AL Aghwar,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Jericho & AL Aghwar,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Jericho & AL Aghwar,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Jericho & AL Aghwar,N,2014,SH_SAN_DEFECT,PT,96.4
2015,_T,Jericho & AL Aghwar,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Jericho & AL Aghwar,N,2017,SH_SAN_DEFECT,PT,98.8
0,_T,Jerusalem,N,0,SH_SAN_DEFECT,PT,
2000,_T,Jerusalem,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Jerusalem,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Jerusalem,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Jerusalem,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Jerusalem,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Jerusalem,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Jerusalem,N,2007,SH_SAN_DEFECT,PT,98.0
2008,_T,Jerusalem,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Jerusalem,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Jerusalem,N,2010,SH_SAN_DEFECT,PT,88.3
2011,_T,Jerusalem,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Jerusalem,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Jerusalem,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Jerusalem,N,2014,SH_SAN_DEFECT,PT,98.6
2015,_T,Jerusalem,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Jerusalem,N,2017,SH_SAN_DEFECT,PT,98.5
0,_T,Bethlehem,N,0,SH_SAN_DEFECT,PT,
2000,_T,Bethlehem,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Bethlehem,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Bethlehem,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Bethlehem,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Bethlehem,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Bethlehem,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Bethlehem,N,2007,SH_SAN_DEFECT,PT,98.6
2008,_T,Bethlehem,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Bethlehem,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Bethlehem,N,2010,SH_SAN_DEFECT,PT,90.9
2011,_T,Bethlehem,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Bethlehem,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Bethlehem,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Bethlehem,N,2014,SH_SAN_DEFECT,PT,97.2
2015,_T,Bethlehem,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Bethlehem,N,2017,SH_SAN_DEFECT,PT,98.7
0,_T,Hebron,N,0,SH_SAN_DEFECT,PT,
2000,_T,Hebron,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Hebron,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Hebron,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Hebron,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Hebron,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Hebron,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Hebron,N,2007,SH_SAN_DEFECT,PT,98.4
2008,_T,Hebron,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Hebron,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Hebron,N,2010,SH_SAN_DEFECT,PT,85.1
2011,_T,Hebron,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Hebron,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Hebron,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Hebron,N,2014,SH_SAN_DEFECT,PT,98.9
2015,_T,Hebron,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Hebron,N,2017,SH_SAN_DEFECT,PT,99.7
0,_T,North Gaza,N,0,SH_SAN_DEFECT,PT,
2000,_T,North Gaza,N,2000,SH_SAN_DEFECT,PT,
2002,_T,North Gaza,N,2002,SH_SAN_DEFECT,PT,
2003,_T,North Gaza,N,2003,SH_SAN_DEFECT,PT,
2004,_T,North Gaza,N,2004,SH_SAN_DEFECT,PT,
2005,_T,North Gaza,N,2005,SH_SAN_DEFECT,PT,
2006,_T,North Gaza,N,2006,SH_SAN_DEFECT,PT,
2007,_T,North Gaza,N,2007,SH_SAN_DEFECT,PT,99.9
2008,_T,North Gaza,N,2008,SH_SAN_DEFECT,PT,
2009,_T,North Gaza,N,2009,SH_SAN_DEFECT,PT,
2010,_T,North Gaza,N,2010,SH_SAN_DEFECT,PT,92.8
2011,_T,North Gaza,N,2011,SH_SAN_DEFECT,PT,
2012,_T,North Gaza,N,2012,SH_SAN_DEFECT,PT,
2013,_T,North Gaza,N,2013,SH_SAN_DEFECT,PT,
2014,_T,North Gaza,N,2014,SH_SAN_DEFECT,PT,97.2
2015,_T,North Gaza,N,2015,SH_SAN_DEFECT,PT,
2017,_T,North Gaza,N,2017,SH_SAN_DEFECT,PT,99.7
0,_T,Gaza,N,0,SH_SAN_DEFECT,PT,
2000,_T,Gaza,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Gaza,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Gaza,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Gaza,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Gaza,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Gaza,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Gaza,N,2007,SH_SAN_DEFECT,PT,99.9
2008,_T,Gaza,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Gaza,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Gaza,N,2010,SH_SAN_DEFECT,PT,95.6
2011,_T,Gaza,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Gaza,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Gaza,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Gaza,N,2014,SH_SAN_DEFECT,PT,97.8
2015,_T,Gaza,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Gaza,N,2017,SH_SAN_DEFECT,PT,99.9
0,_T,Dier Al-Balah,N,0,SH_SAN_DEFECT,PT,
2000,_T,Dier Al-Balah,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Dier Al-Balah,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Dier Al-Balah,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Dier Al-Balah,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Dier Al-Balah,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Dier Al-Balah,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Dier Al-Balah,N,2007,SH_SAN_DEFECT,PT,99.9
2008,_T,Dier Al-Balah,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Dier Al-Balah,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Dier Al-Balah,N,2010,SH_SAN_DEFECT,PT,98.9
2011,_T,Dier Al-Balah,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Dier Al-Balah,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Dier Al-Balah,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Dier Al-Balah,N,2014,SH_SAN_DEFECT,PT,99.0
2015,_T,Dier Al-Balah,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Dier Al-Balah,N,2017,SH_SAN_DEFECT,PT,99.9
0,_T,Khan Yunis,N,0,SH_SAN_DEFECT,PT,
2000,_T,Khan Yunis,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Khan Yunis,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Khan Yunis,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Khan Yunis,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Khan Yunis,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Khan Yunis,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Khan Yunis,N,2007,SH_SAN_DEFECT,PT,99.8
2008,_T,Khan Yunis,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Khan Yunis,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Khan Yunis,N,2010,SH_SAN_DEFECT,PT,94.6
2011,_T,Khan Yunis,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Khan Yunis,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Khan Yunis,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Khan Yunis,N,2014,SH_SAN_DEFECT,PT,99.3
2015,_T,Khan Yunis,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Khan Yunis,N,2017,SH_SAN_DEFECT,PT,99.9
0,_T,Rafah,N,0,SH_SAN_DEFECT,PT,
2000,_T,Rafah,N,2000,SH_SAN_DEFECT,PT,
2002,_T,Rafah,N,2002,SH_SAN_DEFECT,PT,
2003,_T,Rafah,N,2003,SH_SAN_DEFECT,PT,
2004,_T,Rafah,N,2004,SH_SAN_DEFECT,PT,
2005,_T,Rafah,N,2005,SH_SAN_DEFECT,PT,
2006,_T,Rafah,N,2006,SH_SAN_DEFECT,PT,
2007,_T,Rafah,N,2007,SH_SAN_DEFECT,PT,99.9
2008,_T,Rafah,N,2008,SH_SAN_DEFECT,PT,
2009,_T,Rafah,N,2009,SH_SAN_DEFECT,PT,
2010,_T,Rafah,N,2010,SH_SAN_DEFECT,PT,96.6
2011,_T,Rafah,N,2011,SH_SAN_DEFECT,PT,
2012,_T,Rafah,N,2012,SH_SAN_DEFECT,PT,
2013,_T,Rafah,N,2013,SH_SAN_DEFECT,PT,
2014,_T,Rafah,N,2014,SH_SAN_DEFECT,PT,99.8
2015,_T,Rafah,N,2015,SH_SAN_DEFECT,PT,
2017,_T,Rafah,N,2017,SH_SAN_DEFECT,PT,100.0
0,U,West Bank,N,0,SH_SAN_DEFECT,PT,
2000,U,West Bank,N,2000,SH_SAN_DEFECT,PT,
2002,U,West Bank,N,2002,SH_SAN_DEFECT,PT,
2003,U,West Bank,N,2003,SH_SAN_DEFECT,PT,
2004,U,West Bank,N,2004,SH_SAN_DEFECT,PT,
2005,U,West Bank,N,2005,SH_SAN_DEFECT,PT,
2006,U,West Bank,N,2006,SH_SAN_DEFECT,PT,
2007,U,West Bank,N,2007,SH_SAN_DEFECT,PT,
2008,U,West Bank,N,2008,SH_SAN_DEFECT,PT,
2009,U,West Bank,N,2009,SH_SAN_DEFECT,PT,
2010,U,West Bank,N,2010,SH_SAN_DEFECT,PT,
2011,U,West Bank,N,2011,SH_SAN_DEFECT,PT,
2012,U,West Bank,N,2012,SH_SAN_DEFECT,PT,
2013,U,West Bank,N,2013,SH_SAN_DEFECT,PT,
2014,U,West Bank,N,2014,SH_SAN_DEFECT,PT,
2015,U,West Bank,N,2015,SH_SAN_DEFECT,PT,
2017,U,West Bank,N,2017,SH_SAN_DEFECT,PT,
0,U,Gaza Strip,N,0,SH_SAN_DEFECT,PT,
2000,U,Gaza Strip,N,2000,SH_SAN_DEFECT,PT,
2002,U,Gaza Strip,N,2002,SH_SAN_DEFECT,PT,
2003,U,Gaza Strip,N,2003,SH_SAN_DEFECT,PT,
2004,U,Gaza Strip,N,2004,SH_SAN_DEFECT,PT,
2005,U,Gaza Strip,N,2005,SH_SAN_DEFECT,PT,
2006,U,Gaza Strip,N,2006,SH_SAN_DEFECT,PT,
2007,U,Gaza Strip,N,2007,SH_SAN_DEFECT,PT,
2008,U,Gaza Strip,N,2008,SH_SAN_DEFECT,PT,
2009,U,Gaza Strip,N,2009,SH_SAN_DEFECT,PT,
