Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,N,2000,NY_GDP_PCAP,NUMBER,-8.93
2001,West Bank,N,2001,NY_GDP_PCAP,NUMBER,-14.29
2002,West Bank,N,2002,NY_GDP_PCAP,NUMBER,-16.94
2003,West Bank,N,2003,NY_GDP_PCAP,NUMBER,6.92
2004,West Bank,N,2004,NY_GDP_PCAP,NUMBER,22.04
2005,West Bank,N,2005,NY_GDP_PCAP,NUMBER,3.64
2006,West Bank,N,2006,NY_GDP_PCAP,NUMBER,5.96
2007,West Bank,N,2007,NY_GDP_PCAP,NUMBER,7.38
2008,West Bank,N,2008,NY_GDP_PCAP,NUMBER,10.58
2009,West Bank,N,2009,NY_GDP_PCAP,NUMBER,6.68
2010,West Bank,N,2010,NY_GDP_PCAP,NUMBER,2.31
2011,West Bank,N,2011,NY_GDP_PCAP,NUMBER,7.2
2012,West Bank,N,2012,NY_GDP_PCAP,NUMBER,3.26
2013,West Bank,N,2013,NY_GDP_PCAP,NUMBER,1.6
2014,West Bank,N,2014,NY_GDP_PCAP,NUMBER,2.26
2015,West Bank,N,2015,NY_GDP_PCAP,NUMBER,2.34
2016,West Bank,N,2016,NY_GDP_PCAP,NUMBER,6.73
2017,West Bank,N,2017,NY_GDP_PCAP,NUMBER,1.89
2018,West Bank,N,2018,NY_GDP_PCAP,NUMBER,0.07
2019,West Bank,N,2019,NY_GDP_PCAP,NUMBER,-1.1
2000,Gaza Strip,N,2000,NY_GDP_PCAP,NUMBER,-16.86
2001,Gaza Strip,N,2001,NY_GDP_PCAP,NUMBER,-5.98
2002,Gaza Strip,N,2002,NY_GDP_PCAP,NUMBER,-10.55
2003,Gaza Strip,N,2003,NY_GDP_PCAP,NUMBER,18.71
2004,Gaza Strip,N,2004,NY_GDP_PCAP,NUMBER,9.77
2005,Gaza Strip,N,2005,NY_GDP_PCAP,NUMBER,16.08
2006,Gaza Strip,N,2006,NY_GDP_PCAP,NUMBER,-20.48
2007,Gaza Strip,N,2007,NY_GDP_PCAP,NUMBER,-14.02
2008,Gaza Strip,N,2008,NY_GDP_PCAP,NUMBER,-11.27
2009,Gaza Strip,N,2009,NY_GDP_PCAP,NUMBER,3.56
2010,Gaza Strip,N,2010,NY_GDP_PCAP,NUMBER,6.59
2011,Gaza Strip,N,2011,NY_GDP_PCAP,NUMBER,6.51
2012,Gaza Strip,N,2012,NY_GDP_PCAP,NUMBER,5.12
2013,Gaza Strip,N,2013,NY_GDP_PCAP,NUMBER,4.85
2014,Gaza Strip,N,2014,NY_GDP_PCAP,NUMBER,-16.24
2015,Gaza Strip,N,2015,NY_GDP_PCAP,NUMBER,-1.36
2016,Gaza Strip,N,2016,NY_GDP_PCAP,NUMBER,6.26
2017,Gaza Strip,N,2017,NY_GDP_PCAP,NUMBER,-10.06
2018,Gaza Strip,N,2018,NY_GDP_PCAP,NUMBER,-6.32
2019,Gaza Strip,N,2019,NY_GDP_PCAP,NUMBER,-2.8
2000,PS,N,2000,NY_GDP_PCAP,NUMBER,-11.44
2001,PS,N,2001,NY_GDP_PCAP,NUMBER,-11.91
2002,PS,N,2002,NY_GDP_PCAP,NUMBER,-14.96
2003,PS,N,2003,NY_GDP_PCAP,NUMBER,10.78
2004,PS,N,2004,NY_GDP_PCAP,NUMBER,18.44
2005,PS,N,2005,NY_GDP_PCAP,NUMBER,7.94
2006,PS,N,2006,NY_GDP_PCAP,NUMBER,-3.98
2007,PS,N,2007,NY_GDP_PCAP,NUMBER,0.65
2008,PS,N,2008,NY_GDP_PCAP,NUMBER,4.55
2009,PS,N,2009,NY_GDP_PCAP,NUMBER,5.77
2010,PS,N,2010,NY_GDP_PCAP,NUMBER,3.09
2011,PS,N,2011,NY_GDP_PCAP,NUMBER,6.89
2012,PS,N,2012,NY_GDP_PCAP,NUMBER,3.53
2013,PS,N,2013,NY_GDP_PCAP,NUMBER,2.23
2014,PS,N,2014,NY_GDP_PCAP,NUMBER,-2.46
2015,PS,N,2015,NY_GDP_PCAP,NUMBER,1.39
2016,PS,N,2016,NY_GDP_PCAP,NUMBER,6.46
2017,PS,N,2017,NY_GDP_PCAP,NUMBER,-0.77
2018,PS,N,2018,NY_GDP_PCAP,NUMBER,-1.31
2019,PS,N,2019,NY_GDP_PCAP,NUMBER,-1.6
