Year,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,West Bank,2000,NUMBER,NY_GDP_PCAP,-8.93
2001,West Bank,2001,NUMBER,NY_GDP_PCAP,-14.29
2002,West Bank,2002,NUMBER,NY_GDP_PCAP,-16.94
2003,West Bank,2003,NUMBER,NY_GDP_PCAP,6.92
2004,West Bank,2004,NUMBER,NY_GDP_PCAP,22.04
2005,West Bank,2005,NUMBER,NY_GDP_PCAP,3.64
2006,West Bank,2006,NUMBER,NY_GDP_PCAP,5.96
2007,West Bank,2007,NUMBER,NY_GDP_PCAP,7.38
2008,West Bank,2008,NUMBER,NY_GDP_PCAP,10.58
2009,West Bank,2009,NUMBER,NY_GDP_PCAP,6.68
2010,West Bank,2010,NUMBER,NY_GDP_PCAP,2.31
2011,West Bank,2011,NUMBER,NY_GDP_PCAP,7.2
2012,West Bank,2012,NUMBER,NY_GDP_PCAP,3.26
2013,West Bank,2013,NUMBER,NY_GDP_PCAP,1.6
2014,West Bank,2014,NUMBER,NY_GDP_PCAP,2.26
2015,West Bank,2015,NUMBER,NY_GDP_PCAP,2.34
2016,West Bank,2016,NUMBER,NY_GDP_PCAP,6.73
2017,West Bank,2017,NUMBER,NY_GDP_PCAP,1.89
2018,West Bank,2018,NUMBER,NY_GDP_PCAP,0.07
2019,West Bank,2019,NUMBER,NY_GDP_PCAP,-1.1
2000,Gaza Strip,2000,NUMBER,NY_GDP_PCAP,-16.86
2001,Gaza Strip,2001,NUMBER,NY_GDP_PCAP,-5.98
2002,Gaza Strip,2002,NUMBER,NY_GDP_PCAP,-10.55
2003,Gaza Strip,2003,NUMBER,NY_GDP_PCAP,18.71
2004,Gaza Strip,2004,NUMBER,NY_GDP_PCAP,9.77
2005,Gaza Strip,2005,NUMBER,NY_GDP_PCAP,16.08
2006,Gaza Strip,2006,NUMBER,NY_GDP_PCAP,-20.48
2007,Gaza Strip,2007,NUMBER,NY_GDP_PCAP,-14.02
2008,Gaza Strip,2008,NUMBER,NY_GDP_PCAP,-11.27
2009,Gaza Strip,2009,NUMBER,NY_GDP_PCAP,3.56
2010,Gaza Strip,2010,NUMBER,NY_GDP_PCAP,6.59
2011,Gaza Strip,2011,NUMBER,NY_GDP_PCAP,6.51
2012,Gaza Strip,2012,NUMBER,NY_GDP_PCAP,5.12
2013,Gaza Strip,2013,NUMBER,NY_GDP_PCAP,4.85
2014,Gaza Strip,2014,NUMBER,NY_GDP_PCAP,-16.24
2015,Gaza Strip,2015,NUMBER,NY_GDP_PCAP,-1.36
2016,Gaza Strip,2016,NUMBER,NY_GDP_PCAP,6.26
2017,Gaza Strip,2017,NUMBER,NY_GDP_PCAP,-10.06
2018,Gaza Strip,2018,NUMBER,NY_GDP_PCAP,-6.32
2019,Gaza Strip,2019,NUMBER,NY_GDP_PCAP,-2.8
2000,PS,2000,NUMBER,NY_GDP_PCAP,-11.44
2001,PS,2001,NUMBER,NY_GDP_PCAP,-11.91
2002,PS,2002,NUMBER,NY_GDP_PCAP,-14.96
2003,PS,2003,NUMBER,NY_GDP_PCAP,10.78
2004,PS,2004,NUMBER,NY_GDP_PCAP,18.44
2005,PS,2005,NUMBER,NY_GDP_PCAP,7.94
2006,PS,2006,NUMBER,NY_GDP_PCAP,-3.98
2007,PS,2007,NUMBER,NY_GDP_PCAP,0.65
2008,PS,2008,NUMBER,NY_GDP_PCAP,4.55
2009,PS,2009,NUMBER,NY_GDP_PCAP,5.77
2010,PS,2010,NUMBER,NY_GDP_PCAP,3.09
2011,PS,2011,NUMBER,NY_GDP_PCAP,6.89
2012,PS,2012,NUMBER,NY_GDP_PCAP,3.53
2013,PS,2013,NUMBER,NY_GDP_PCAP,2.23
2014,PS,2014,NUMBER,NY_GDP_PCAP,-2.46
2015,PS,2015,NUMBER,NY_GDP_PCAP,1.39
2016,PS,2016,NUMBER,NY_GDP_PCAP,6.46
2017,PS,2017,NUMBER,NY_GDP_PCAP,-0.77
2018,PS,2018,NUMBER,NY_GDP_PCAP,-1.31
2019,PS,2019,NUMBER,NY_GDP_PCAP,-1.6
