Year,REF_AREA,TIME_DETAIL,SERIES,Value
2000,West Bank,2000,NV_IND_TECH,8.4
2001,West Bank,2001,NV_IND_TECH,8.6
2002,West Bank,2002,NV_IND_TECH,11.0
2003,West Bank,2003,NV_IND_TECH,10.2
2004,West Bank,2004,NV_IND_TECH,6.1
2005,West Bank,2005,NV_IND_TECH,7.2
2006,West Bank,2006,NV_IND_TECH,7.6
2007,West Bank,2007,NV_IND_TECH,5.5
2008,West Bank,2008,NV_IND_TECH,5.5
2009,West Bank,2009,NV_IND_TECH,7.5
2010,West Bank,2010,NV_IND_TECH,5.6
2011,West Bank,2011,NV_IND_TECH,0.0
2012,West Bank,2012,NV_IND_TECH,5.5
2013,West Bank,2013,NV_IND_TECH,8.2
2014,West Bank,2014,NV_IND_TECH,6.4
2015,West Bank,2015,NV_IND_TECH,7.7
2016,West Bank,2016,NV_IND_TECH,10.5
2017,West Bank,2017,NV_IND_TECH,6.9
2018,West Bank,2018,NV_IND_TECH,7.3
2019,West Bank,2019,NV_IND_TECH,6.3
2000,Gaza Strip,2000,NV_IND_TECH,6.4
2001,Gaza Strip,2001,NV_IND_TECH,3.4
2002,Gaza Strip,2002,NV_IND_TECH,4.9
2003,Gaza Strip,2003,NV_IND_TECH,5.5
2004,Gaza Strip,2004,NV_IND_TECH,9.2
2005,Gaza Strip,2005,NV_IND_TECH,8.6
2006,Gaza Strip,2006,NV_IND_TECH,5.2
2007,Gaza Strip,2007,NV_IND_TECH,6.6
2008,Gaza Strip,2008,NV_IND_TECH,7.0
2009,Gaza Strip,2009,NV_IND_TECH,7.2
2010,Gaza Strip,2010,NV_IND_TECH,2.6
2011,Gaza Strip,2011,NV_IND_TECH,0.0
2012,Gaza Strip,2012,NV_IND_TECH,4.5
2013,Gaza Strip,2013,NV_IND_TECH,4.1
2014,Gaza Strip,2014,NV_IND_TECH,16.0
2015,Gaza Strip,2015,NV_IND_TECH,9.5
2016,Gaza Strip,2016,NV_IND_TECH,5.9
2017,Gaza Strip,2017,NV_IND_TECH,4.3
2018,Gaza Strip,2018,NV_IND_TECH,6.1
2019,Gaza Strip,2019,NV_IND_TECH,4.6
2000,PS,2000,NV_IND_TECH,7.9
2001,PS,2001,NV_IND_TECH,7.0
2002,PS,2002,NV_IND_TECH,9.6
2003,PS,2003,NV_IND_TECH,9.0
2004,PS,2004,NV_IND_TECH,6.8
2005,PS,2005,NV_IND_TECH,7.4
2006,PS,2006,NV_IND_TECH,7.1
2007,PS,2007,NV_IND_TECH,5.6
2008,PS,2008,NV_IND_TECH,5.6
2009,PS,2009,NV_IND_TECH,7.5
2010,PS,2010,NV_IND_TECH,5.2
2011,PS,2011,NV_IND_TECH,0.0
2012,PS,2012,NV_IND_TECH,5.4
2013,PS,2013,NV_IND_TECH,7.6
2014,PS,2014,NV_IND_TECH,8.0
2015,PS,2015,NV_IND_TECH,8.1
2016,PS,2016,NV_IND_TECH,9.8
2017,PS,2017,NV_IND_TECH,6.5
2018,PS,2018,NV_IND_TECH,7.2
2019,PS,2019,NV_IND_TECH,6.2
